GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
ENSG00000100280	50	209	53.99999	3	1	10
ENSG00000100281	7	43	10	0	1	7
ENSG00000100284	101	55	19	7	5.00001	5
ENSG00000100285	0	1	0	0	0	0
ENSG00000100288	25	29	6	0	1	0
ENSG00000100290	24	5	1	0	2	0
ENSG00000100292	87	859	258	16	9	64
ENSG00000100294	15	98	34	2	1	5
ENSG00000100296	41.99999	154	52.00001	3.99999	3	5
ENSG00000100297	19	564	187	3	1	63
ENSG00000100298	0	0	0	0	0	0
ENSG00000100299	23	41.99999	10	3	2	6
ENSG00000100300	4	620.99999	229.00001	0.99999	1	60
ENSG00000100302	0	7	1	0	0	3
ENSG00000100304	78	132	32	5	10	18
ENSG00000100307	4	5	0	0	0	0
ENSG00000100311	6	15	8	0	0	2
ENSG00000100312	1	0	0	0	0	0
ENSG00000100314	0	3	0	0	0	0
ENSG00000100316	2885.99999	5769.00001	1937	352	235	720
ENSG00000100319	21	103	42	6	2	7
ENSG00000100320	45	147	51	3	2	19
ENSG00000100321	3	46	19	0	0	2
ENSG00000100324	12	45	19	4	3	4
ENSG00000100325	28	100	43	0	2	10
ENSG00000100330	26	56	11	1	2	3
ENSG00000100335	51	73	32	4	10	7
ENSG00000100336	1	0	0	0	0.99999	0
ENSG00000100341	0	0	0	0	0	0
ENSG00000100342	6	6	4	5	2	1
ENSG00000100344	0	2	0	0	0	1
ENSG00000100345	267	741	254	26	26	66
ENSG00000100346	0	0	0	0	0	0
ENSG00000100347	52	250	95	8	5	32
ENSG00000100348	78	300.00001	74	18	12	35
ENSG00000100350	44	91	40	6	3	14
ENSG00000100351	0	0	0	0	0	0
ENSG00000100353	185	728	203	25	17	56
ENSG00000100354	8	18	10	0	2	1
ENSG00000100359	5	54	18	0	0	6
ENSG00000100360	1	198	52	0	0	14
ENSG00000100362	0	0	0	0	0	0
ENSG00000100364	39	287.00001	106	6	4	32
ENSG00000100365	0	0	0	0	0	0
ENSG00000100368	0	0	0	0	0	0
ENSG00000100372	32	140	27	4	8	13
ENSG00000100373	4	0	0	1	0	0
ENSG00000100376	30	27	4	3	1	3
ENSG00000100379	11	91.99999	21	0	1.99999	9
ENSG00000100380	329	578	223	46	38	70
ENSG00000100385	1	0	0	0	0	0
ENSG00000100387	136	371	195	25	12	72
ENSG00000100393	30	68	19	5	1	5
ENSG00000100395	25	55	21	1	1	4
ENSG00000100399	15	0	0	1	2	0
ENSG00000100401	110	452	160	14	11	24
ENSG00000100403	45	88	20	5	3	6
ENSG00000100410	53	255	80	11	8	35
ENSG00000100412	97	281	95	16	7	23
ENSG00000100413	33	194	64.99999	4	0	17.99999
ENSG00000100416	9	83.99999	32	2	0	8
ENSG00000100417	65	123.00001	31	9	3	27
ENSG00000100418	64	150	49	3	5	22
ENSG00000100422	85	92	30	11	6	9
ENSG00000100425	19	37	18	2	1	4
ENSG00000100426	16	44	15	3	3	8
ENSG00000100427	0	0	0	0	0	0
ENSG00000100429	15	16.99999	4	2.99999	1	0
ENSG00000128159	6	19	11.99999	1	0	1
ENSG00000128165	36	2	0	4	3	0
ENSG00000128185	29	161.00001	65.99999	3	4	27
ENSG00000128191	12.99999	60	19	1	0	7
ENSG00000128203	0	8	0	0	0	1
ENSG00000128218	0	0	0	0	1	0
ENSG00000128228	28	221	77	2	2	29
ENSG00000128242	5	90	33.99999	2	1	12
ENSG00000128245	111.00001	590	169	15	8	64
ENSG00000128250	0	0	0	0	0	0
ENSG00000128253	0	0	1	0	0	0
ENSG00000128254	0	0	0	0	0	0
ENSG00000128262	1	0	0	0	0	0
ENSG00000128266	26	15	3	2	1	0
ENSG00000128268	0	0	1	0	0	0
ENSG00000128271	7	7	2	0	1	0
ENSG00000128272	654	922	212	83	31	113
ENSG00000128274	0	42	21	1	0	4
ENSG00000128276	0	0	0	0	0	0
ENSG00000128283	319	153	50	25	32	11
ENSG00000128284	1.99999	0.99999	0	0	2.00001	0
ENSG00000128285	2	0	0	0	0	0
ENSG00000128294	16	61	29	2	0	9
ENSG00000128298	8	31	13	2	0	2
ENSG00000128309	196.99999	455	137	26	15	45
ENSG00000128310	0	0	0	0	0	0
ENSG00000128311	49	351	92	7	8	32
ENSG00000128313	0	0	0	0	0	0
ENSG00000128322	0	0	0	0	0	0
ENSG00000128335	7	25	7	0	7	9
ENSG00000128340	0	0	1	0	1	0
ENSG00000128342	8	93	35	0	3	7
ENSG00000128346	0	2	2	0	0	0
ENSG00000128383	0	0	0	0	0	0
ENSG00000128394	1	6	5	0	0	1
ENSG00000128408	1	23	7	0	0	3
ENSG00000130487	0	0	0	0	0	0
ENSG00000130489	31	105	49	4	1	11
ENSG00000130538	0	0	0	0	0	0
ENSG00000130540	0	0	0	0	0	0
ENSG00000130638	133	564	181	16	23	66
ENSG00000130943	1	0	0	0	0	0
ENSG00000131100	124	385	153	20	16	43
ENSG00000133422	20	68	26	5	2	4
ENSG00000133424	14	21	8	7.00001	4	3
ENSG00000133433	2	0	0	0	1	0
ENSG00000133454	0	0	0	0	0	0
ENSG00000133460	29.99999	20	6	3	3	2
ENSG00000133466	3	50	23	3	0	3
ENSG00000133475	0	0	0	0	0	0
ENSG00000133477	0	0	0	0	0	0
ENSG00000133488	0	1	3.99999	0	0	0
ENSG00000133519	0	11	0	0	0	2.00001
ENSG00000138867	58	87	22	11	6	7
ENSG00000138892	0	0	0	0	0	0
ENSG00000138942	23	84	13	1	1	3
ENSG00000138944	0	0	0	0	0	0
ENSG00000138964	0	0	0	0	0	0
ENSG00000159307	0	0	0	0	0	0
ENSG00000159496	0	0	0	0	0	0
ENSG00000159873	39	89	17	2	6.00001	12.99999
ENSG00000159958	0	0	0	0	0	0
ENSG00000161103	0	1	0	0	0	0
ENSG00000161132	0	0	0	0	0	0
ENSG00000161133	0	0	0	0	0	0
ENSG00000161149	0	1	0	0	0	0
ENSG00000161179	84	244.99999	82	9	9	19
ENSG00000161180	0	0	0	0	0	0
ENSG00000166862	0	0	0	0	0	0
ENSG00000166897	0	23	12	0	0	2
ENSG00000167037	0	8	2	0	0	0
ENSG00000167065	2	12	3	0	0	0
ENSG00000167074	11	7	1	0	0	2
ENSG00000167077	0.99999	0	0	0	0	0
ENSG00000168135	0	1	0	0	0	0
ENSG00000169184	0	7	3	0	0	0
ENSG00000169314	0	0	0	0	0	0
ENSG00000169548	3	9	2	0	1	1
ENSG00000169575	0	0	0	0	0	0
ENSG00000169635	21	11	3	2	0	0
ENSG00000169662	0	0	0	0	0	0
ENSG00000169668	0	3	1	0	0	0
ENSG00000170638	40	151	55	4	2	13.99999
ENSG00000172250	1	0	1	0	0	2
ENSG00000172346	0	5	2	0	0	0
ENSG00000172404	0	0	1	0	0	0
ENSG00000172912	0	0	0	0	0	0
ENSG00000172967	0	0	0	0	0	0
ENSG00000175329	2	0	0	2	0	0
ENSG00000176177	0	0	0	0	0	0
ENSG00000176635	0	0	0	0	0	0
ENSG00000177096	0	0	0	0	0	0
ENSG00000177663	16	30	13.00001	3	0	3
ENSG00000177989	2.00001	11.99999	14	0	0	0
ENSG00000177993	0	0	0	0	0	0
ENSG00000178026	17	25	7	3	1	4
ENSG00000178248	0	0	0	0	0	0
ENSG00000178803	0	0	0	0	0	0
ENSG00000179750	2	116	53	0	0	15
ENSG00000180150	0	0	0	0	0	0
ENSG00000180957	51.00001	208.00001	53.00001	5	5.00001	14
ENSG00000181123	0	0	0	0	0	0
ENSG00000182057	3	5	2	0	0	1
ENSG00000182257	0	2	0	0	0	0
ENSG00000182351	2	28	0	0	0	9
ENSG00000182541	26	15	3	3	3	1
ENSG00000182824	0	0	0	0	0	0
ENSG00000182841	1	21	8	1	0	3
ENSG00000182858	15	97	18	1	4	11
ENSG00000182902	0	0	1	0	0	0
ENSG00000182944	142	539.00001	176	18	14	59
ENSG00000183066	0	1	0	0	0	0
ENSG00000183169	0	0	0	0	0	0
ENSG00000183172	104	114	54	19	7	24
ENSG00000183246	0	0	0	0	0	1
ENSG00000183307	0	1	0	0	0	0
ENSG00000183506	21	20	7	1	6	0
ENSG00000183530	9	20	5	2	2	5
ENSG00000183569	3	0	4	0	0	0
ENSG00000183579	88	46	9	8	13	8
ENSG00000183597	7	42	10	0	0	3.00002
ENSG00000183628	0	4	1	0	0	2
ENSG00000183741	7	72	35	1	3	3
ENSG00000183762	56	32	4	4	4	2
ENSG00000183765	8	49	22	5	2	9
ENSG00000183773	15	1	0	0	0	1
ENSG00000183785	1	0	0	0	0	0
ENSG00000183822	0	0	0	0	0	0
ENSG00000183864	69	62	17	3	13	6
ENSG00000183963	18	104.00001	27	1	11.99999	6
ENSG00000184058	0	8	3	0	0	4
ENSG00000184068	5	5	3	0	1	1
ENSG00000184076	298	613	275	52	28	112
ENSG00000184113	0	0	0	0	0	0
ENSG00000184117	116	332	124	14	9	26
ENSG00000184164	14	85	22	0	0.99999	10
ENSG00000184208	4	13	2	0	0	1
ENSG00000184319	12.99999	89	44	1	0	5.99999
ENSG00000184381	0	8	1	0	0	0
ENSG00000184436	18	106	34.00001	0	2	19.99999
ENSG00000184459	0	0	0	0	0	0
ENSG00000184470	19	147	76	0	5	16
ENSG00000184571	0	0	0	0	0	0
ENSG00000184624	0	0	0	0	0	0
ENSG00000184702	0	40	19.99999	0	0	0
ENSG00000184708	25	56.99999	16	2	1	2
ENSG00000184792	2	23	7	0	0	0
ENSG00000184949	0	0	1	0	0	0
ENSG00000184979	16	34	10	0	2	2
ENSG00000184983	135.99999	401.00001	189.99999	30.00001	21	62
ENSG00000185022	27	16.99999	11	4	1	1
ENSG00000185065	0	3	0	0	0	0
ENSG00000185133	2	1	2	2.00003	0	2
ENSG00000185252	12	26	6	1	0	0
ENSG00000185264	0	0	0	0	0	0
ENSG00000185339	2	17	7	0	1	5
ENSG00000185340	7	126	24	0	4	13
ENSG00000185386	0	34	6	0	0	1
ENSG00000185608	41	257	86	11	5	46
ENSG00000185651	134	557.00001	201	19	16	67
ENSG00000185666	2	0	0	0	0	0
ENSG00000185686	0	464	132	0	0	35
ENSG00000185721	104	296	107	21	9	35
ENSG00000185837	0	0	0	0	0	0
ENSG00000185838	15	51	11	1	0	1
ENSG00000186575	3.99999	68	21	0	0	6
ENSG00000186654	28	96	25	3.00001	2	21.00001
ENSG00000186716	58	84	20	4	9	13
ENSG00000186732	0	0	0	0	0	0
ENSG00000186951	14	16	9	2	4	0
ENSG00000186976	0	2	1	0	0	0
ENSG00000186998	2.00001	0	1	0	0	1
ENSG00000187012	0	0	0	0	0	0
ENSG00000187045	7	12	4	0	3	0
ENSG00000187051	79	221	87	11	5	44
ENSG00000187792	1	3	1	0	0	1
ENSG00000187860	1	10	6	0	0	2
ENSG00000187905	0	0	0	0	0	0
ENSG00000187979	0	0	0	0	0	0
ENSG00000188064	0	752	242	0	0	45
ENSG00000188078	0	0	0	0	0	0
ENSG00000188130	25	110	36.00001	0	1	11
ENSG00000188263	0	2	0	0	0	0
ENSG00000188280	0	0	0	0	0	0
ENSG00000188511	0	0	0	0	0	0
ENSG00000188636	0	66	19	0	0	7
ENSG00000188677	0	177	69	0	0	18
ENSG00000189060	1467	442	166	126	84	47
ENSG00000189269	0	0	0	0	0	0
ENSG00000189295	0	0	0	0	0	0
ENSG00000189306	59	358	135	9	6	39
ENSG00000196236	41	46	20	4	0	5
ENSG00000196419	518	1717	459	77	37	159
ENSG00000196431	0	0	0	0	0	0
ENSG00000196576	127.99999	283.99999	105.00001	7	20.00001	27.99999
ENSG00000196588	27	152	56	1	3	5.00001
ENSG00000197077	28	47	8	7	1	7
ENSG00000197182	0	30	20	0	0	1
ENSG00000197210	0	0	0	0	0	0
ENSG00000197421	0	3	0	0	0	0
ENSG00000197549	0	0	0	0	0	0
ENSG00000198062	0	0	0	0	0	0
ENSG00000198089	8	39	4	0	0	0
ENSG00000198125	0	19	5	0	0	5
ENSG00000198355	73	174	42	14	7	13
ENSG00000198445	0	0	0	0	0	0
ENSG00000198792	42	167	53	7	3	15
ENSG00000198832	2	209.00001	58	0	1	23
ENSG00000198911	102	217	62	20	22	23
ENSG00000198951	11	41	20	0	2	7
ENSG00000199248	0	0	0	0	0	0
ENSG00000199515	0	0	0	0	0	0
ENSG00000199695	0	0	0	0	0	0
ENSG00000199783	0	0	0	0	0	0
ENSG00000199797	0	0	0	0	0	0
ENSG00000199865	0	0	0	0	0	0
ENSG00000200057	0	0	0	0	0	0
ENSG00000200332	0	0	0	0	0	0
ENSG00000200443	0	0	0	0	0	0
ENSG00000200448	0	0	0	0	0	0
ENSG00000200683	0	0	0	0	0	0
ENSG00000200871	0	0	0	0	0	0
ENSG00000200976	0	0	0	0	0	0
ENSG00000200985	0	0	0	0	0	0
ENSG00000201078	0	0	0	0	0	0
ENSG00000201209	0	0	0	0	0	0
ENSG00000201916	0	0	0	0	0	0
ENSG00000202019	0	0	0	0	0	0
ENSG00000202058	0	0	0	0	0	0
ENSG00000203280	1	0	0	0	0	0
ENSG00000203416	0	0	0	0	0	0
ENSG00000203527	0	0	0	0	0	0
ENSG00000203618	0	0	0	0	0	3
ENSG00000205559	2	10	6	0	0	1
ENSG00000205560	0	22	2.99999	1	0	1
ENSG00000205593	3	8	3	0	0	2
ENSG00000205632	1	0	0	0	0	0
ENSG00000205634	0	0	0	0	0	0
ENSG00000205643	8	37	20	0	2	3
ENSG00000205702	0	5	0	0	0	0
ENSG00000205704	1	0	0	0	0	1
ENSG00000205853	0	0	0	0	0	0
ENSG00000205856	0	0	0	0	0	0
ENSG00000206028	0	0	0	0	0	0
ENSG00000206066	0	0	0	0	0	0
ENSG00000206069	0	0	0	0	0	0
ENSG00000206090	0	0	0	0	0	0
ENSG00000206140	2	5	3	1	0	1
ENSG00000206142	0	0	0	0	0	0
ENSG00000206145	0	0	0	0	0	0
ENSG00000206195	42.99999	95	52	5	2	11
ENSG00000206203	0	0	0	0	0	0
ENSG00000206615	0	0	0	0	0	0
ENSG00000206739	0	0	0	0	0	0
ENSG00000206813	0	0	0	0	0	0
ENSG00000206841	0	0	0	0	0	0
ENSG00000207227	0	0	0	0	0	0
ENSG00000207343	0	0	0	0	0	0
ENSG00000207455	0	0	0	0	0	0
ENSG00000207457	0	0	0	0	0	0
ENSG00000207575	0	0	0	0	0	0
ENSG00000207696	0	0	0	0	0	0
ENSG00000207751	0	0	0	0	0	0
ENSG00000207780	0	0	0	0	0	0
ENSG00000207932	0	0	0	0	0	0
ENSG00000208023	0	0	0	0	0	0
ENSG00000209480	0	0	0	0	0	0
ENSG00000209482	0	0	0	0	0	0
ENSG00000211637	0	0	0	0	0	0
ENSG00000211638	0	0	0	0	0	0
ENSG00000211639	0	0	0	0	0	0
ENSG00000211640	0	0	0	0	0	0
ENSG00000211641	0	0	0	0	0	0
ENSG00000211642	0	0	0	0	0	0
ENSG00000211643	0	1	0	0	0	0
ENSG00000211644	0	0	0	0	0	0
ENSG00000211645	0	0	0	0	0	0
ENSG00000211647	0	0	0	0	0	0
ENSG00000211648	0	0	0	0	0	0
ENSG00000211649	0	1	0	0	0	0
ENSG00000211650	0	0	0	0	0	0
ENSG00000211651	0	0	0	0	0	0
ENSG00000211652	0	0	0	0	0	0
ENSG00000211653	0	0	0	0	0	0
ENSG00000211654	0	0	0	0	0	0
ENSG00000211655	0	0	0	0	0	0
ENSG00000211656	0	0	0	0	0	0
ENSG00000211657	0	0	0	0	0	0
ENSG00000211658	0	0	0	0	0	0
ENSG00000211659	0	0	0	0	0	0
ENSG00000211660	0	0	0	0	0	0
ENSG00000211661	0	0	0	0	0	0
ENSG00000211662	0	0	0	0	0	0
ENSG00000211663	0	0	0	0	0	0
ENSG00000211664	0	0	0	0	0	0
ENSG00000211665	0	0	0	0	0	0
ENSG00000211666	0	0	0	0	0	0
ENSG00000211667	0	0	0	0	0	0
ENSG00000211668	0	0	0	0	0	0
ENSG00000211669	0	0	0	0	0	0
ENSG00000211670	0	0	0	0	0	0
ENSG00000211672	0	0	0	0	0	0
ENSG00000211673	0	0	0	0	0	0
ENSG00000211674	0	0	0	0	0	0
ENSG00000211675	0	0	0	0	0	0
ENSG00000211676	0	0	0	0	0	0
ENSG00000211677	0	0	0	0	0	0
ENSG00000211678	0	0	0	0	0	0
ENSG00000211679	0	0	0	0	0	0
ENSG00000211680	0	0	0	0	0	0
ENSG00000211681	0	0	0	0	0	0
ENSG00000211682	0	0	0	0	0	0
ENSG00000211683	0	0	0	0	0	0
ENSG00000211684	0	0	0	0	0	0
ENSG00000211685	0	0	0	0	0	0
ENSG00000212102	0	0	0	0	0	0
ENSG00000212216	0	0	0	0	0	0
ENSG00000212542	0	0	0	0	0	0
ENSG00000212569	0	0	0	0	0	0
ENSG00000212939	0	0	0	0	0	0
ENSG00000213279	0	0	0	0	0	0
ENSG00000213683	0	98	2	0	0	2
ENSG00000213707	0	14	1	0	0	0
ENSG00000213727	0	0	0	0	0	0
ENSG00000213752	0	0	0	0	0	0
ENSG00000213790	7	103	6	2	0	3
ENSG00000213857	0	3	3	0	0	0
ENSG00000213888	0	1	0	0	0	0
ENSG00000213923	101.99999	158	64.99999	10	5	17
ENSG00000214076	0	7	1	0	0	0
ENSG00000214093	0	1	3	0	0	0
ENSG00000214125	0	0	0	0	0	0
ENSG00000214161	0	0	0	0	0	0
ENSG00000214491	1	0	0	0	0	0
ENSG00000214526	0	0	0	0	0	0
ENSG00000214727	0	0	0	0	0	0
ENSG00000215012	9	21.99999	8	1	0	0
ENSG00000215193	17	18	8	4	1	4
ENSG00000215268	0	0	0	0	0	0
ENSG00000215270	0	1	0	0	0	0
ENSG00000215333	0	4	0	0	0	0
ENSG00000215347	0	0	0	0	0	0
ENSG00000215403	0	0	0	0	0	0
ENSG00000215456	0	0	0	0	0	0
ENSG00000215464	0	0	1	0	0	0
ENSG00000215478	0	0	0	0	0	0
ENSG00000215481	0	0	0	0	0	0
ENSG00000215493	0	0	0	0	0	0
ENSG00000215498	0	0	0	0	0	0
ENSG00000215544	0	0	0	0	0	0
ENSG00000215568	0	0	0	0	0	0
ENSG00000215771	0	0	0	0	0	0
ENSG00000217261	0	0	0	0	0	0
ENSG00000217442	0	0	1	0	0	0
ENSG00000218357	0	0	0	0	0	0
ENSG00000218537	2	6	1	0	1	0
ENSG00000219438	40	35	7	2	7	4
ENSG00000220248	0	0	0	0	0	0
ENSG00000220702	0	0	0	0	0	0
ENSG00000220891	0	0	0	0	0	0
ENSG00000221039	0	0	0	0	0	0
ENSG00000221598	0	0	0	0	0	0
ENSG00000221760	0	0	0	0	0	0
ENSG00000221890	16	18	3	0	1	2
ENSG00000221963	22	8	3	3	3	2
ENSG00000222037	0	0	0	0	0	0
ENSG00000222044	0	0	0	0	0	0
ENSG00000222352	0	0	0	0	0	0
ENSG00000222585	0	0	0	0	0	0
ENSG00000222630	0	0	0	0	0	0
ENSG00000222698	0	0	0	0	0	0
ENSG00000222915	0	0	0	0	0	0
ENSG00000223056	0	0	0	0	0	0
ENSG00000223142	0	0	0	0	0	0
ENSG00000223350	0	0	0	0	0	0
ENSG00000223461	0	0	0	0	0	0
ENSG00000223553	0	0	0	0	0	0
ENSG00000223679	0	0	0	0	0	0
ENSG00000223695	0	2	0	0	0	0
ENSG00000223704	0	0	0	0	0	0
ENSG00000223726	0	0	0	0	0	0
ENSG00000223730	0	1	0	0	0	0
ENSG00000223831	0	0	0	0	0	0
ENSG00000223843	0	0	0	0	0	0
ENSG00000223875	1	0	0	0	0	2
ENSG00000223999	0	0	0	0	0	0
ENSG00000224003	0	2	0	0	0	0
ENSG00000224027	0	0	0	0	0	0
ENSG00000224050	0	1	0	0	0	1
ENSG00000224086	0	4	1	0	0	0
ENSG00000224124	0	0	0	0	0	0
ENSG00000224144	0	0	0	0	0	0
ENSG00000224192	0	0	0	0	0	0
ENSG00000224205	3	0	0	0	0	0
ENSG00000224256	0	0	0	0	0	0
ENSG00000224271	0	0	0	0	0	0
ENSG00000224277	0	0	0	0	0	0
ENSG00000224279	0	0	0	0	0	0
ENSG00000224334	0	0	0	0	0	0
ENSG00000224404	0	0	0	0	0	0
ENSG00000224435	0	0	0	0	0	0
ENSG00000224465	0	0	0	0	0	0
ENSG00000224688	0	1	0	0	0	0
ENSG00000224715	0	0	0	0	0	0
ENSG00000224794	0	0	0	0	0	0
ENSG00000224806	0	0	0	0	0	0
ENSG00000224856	5	10	2	1	0	0
ENSG00000224883	0	0	0	0	0	0
ENSG00000224973	0	0	0	0	0	0
ENSG00000225007	0	0	0	0	0	0
ENSG00000225098	0	0	0	0	0	0
ENSG00000225225	0	0	0	0	0	0
ENSG00000225255	0	9	0	0	0	0
ENSG00000225282	0	0	0	0	0	0
ENSG00000225293	0	0	0	0	0	0
ENSG00000225335	2	0	0	0	0	0
ENSG00000225413	0	0	0	0	0	0
ENSG00000225450	0	0	0	0	0	0
ENSG00000225465	0	1	2	0	0	0
ENSG00000225480	0	0	0	0	0	0
ENSG00000225528	0	2	1	0	0	0
ENSG00000225544	0	0	1	0	0	1
ENSG00000225557	0	0	0	0	0	0
ENSG00000225676	1	1	0	0	0	0
ENSG00000225720	0	0	0	0	0	0
ENSG00000225724	0	0	0	0	0	0
ENSG00000225741	0	0	0	0	0	0
ENSG00000225774	0	2	0	0	0	0
ENSG00000225783	0	0	0	0	0	0
