"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000189060",283.81062593686,2.69708988022885,0.23394266485146,11.5288499510825,9.43962478794158e-31,2.67141381498747e-28
"ENSG00000100097",320.663189288133,-3.4502407536345,0.350463979603509,-9.84477993298448,7.21970543401159e-23,1.02158831891264e-20
"ENSG00000099937",89.4187204275676,10.8547979271437,1.19438450003632,9.08819389971458,1.00697832514893e-19,9.49916220057158e-18
"ENSG00000100297",51.6913721517951,-3.53811456302772,0.429312121546106,-8.24135724443491,1.70268002566192e-16,1.20464611815581e-14
"ENSG00000100300",53.3189438535697,-5.8546115291153,0.715303654852127,-8.18479185643977,2.72774695479883e-16,1.54390477641614e-14
"ENSG00000100219",220.456712665224,2.38824364770232,0.303881924285712,7.85911716636647,3.86850255026107e-15,1.82464370287314e-13
"ENSG00000128283",74.6230835864606,2.42730075822785,0.326322566681467,7.43834783757756,1.01952318888866e-13,4.12178660650703e-12
"ENSG00000188064",53.0499999184049,-8.28905550835426,1.13609318791722,-7.29610528124937,2.96217150085762e-13,1.04786816842838e-11
"ENSG00000100234",20.058173674489,8.73565135573858,1.24424079531599,7.02086878088583,2.20492862487256e-12,6.93327556487705e-11
"ENSG00000185686",33.1197632207688,-7.607283745391,1.13706408274412,-6.6902858518159,2.22735082950951e-11,6.30340284751192e-10
"ENSG00000284194",15.6064392775104,4.74094836139935,0.798116923167483,5.94016769195166,2.84730669969163e-09,7.32534360011574e-08
"ENSG00000100162",20.9078885229774,-5.20783260868376,0.908557720350404,-5.73197771813028,9.92663152765354e-09,2.34103060193829e-07
"ENSG00000188677",15.440911939439,-6.48357238380412,1.18110311639411,-5.48942111303405,4.03253167074014e-08,8.77851125245738e-07
"ENSG00000093009",15.1360554231851,-6.44921692396091,1.17976431330854,-5.46652992568887,4.58930976003321e-08,9.27696187206713e-07
"ENSG00000198832",17.6348103996276,-4.81490612395875,0.911482350240296,-5.28250066793875,1.27432370799723e-07,2.40422406242145e-06
"ENSG00000100292",84.771438705412,-1.55824783525483,0.302873332114738,-5.14488292638624,2.67687696875939e-07,4.73472613849316e-06
"ENSG00000100360",13.5921543103354,-5.59286839099646,1.09109090888648,-5.12594170242357,2.96054210322857e-07,4.92843185419815e-06
"ENSG00000069998",11.4030506959398,-6.05199010779244,1.22018561280771,-4.95989302305122,7.05320103987117e-07,1.10891994126863e-05
"ENSG00000128165",7.33848440699151,5.91302281201425,1.21124490034244,4.88177313303241,1.05136171502565e-06,1.56597560711715e-05
"ENSG00000183579",25.5880062800614,2.4534384913531,0.525284620741455,4.67068403390528,3.0019839517481e-06,4.24780729172356e-05
"ENSG00000179750",11.7648508555247,-4.81464483317078,1.03611476741059,-4.64682580019907,3.37081581452334e-06,4.54257559766717e-05
"ENSG00000100243",94.286336534922,1.17034906212413,0.252967741045902,4.62647552326354,3.71940800407241e-06,4.7845112052386e-05
"ENSG00000100079",10.9158325326924,5.83595767549306,1.31713217865724,4.4308063913848,9.38813516732744e-06,0.000115514880537116
"ENSG00000099901",141.267789022578,-0.927084644180268,0.210042983242124,-4.41378535893096,1.01578673022603e-05,0.000119778185272486
"ENSG00000099953",5.81964672998652,6.8038510564364,1.56049891821102,4.36004855692975,1.30033586226631e-05,0.000147198019608546
"ENSG00000239900",64.8836082095906,-1.30546376396434,0.30104028553169,-4.33650852296615,1.44763816338012e-05,0.000157569846244836
"ENSG00000100138",159.928059260566,0.87567667749914,0.208546273424035,4.19895624660066,2.681481215667e-05,0.000281058957049541
"ENSG00000240972",783.462818248166,-0.674482112641569,0.166820950707599,-4.0431499148077,5.27378766195597e-05,0.000533029252976264
"ENSG00000075275",10.3444141342359,-3.90973728899046,0.984440825259783,-3.97153103433995,7.14121953770711e-05,0.000696884527300384
"ENSG00000128228",24.9697861190603,-1.89534412707916,0.498023387189668,-3.80573317605532,0.000141384741422952,0.00133372939408984
"ENSG00000242114",26.0720711308989,-1.81850676982946,0.490741639045578,-3.705629653449,0.00021086622780956,0.00190067818066449
"ENSG00000100364",34.6756812923041,-1.47850246163328,0.399508478232775,-3.70080371804232,0.000214917674138741,0.00190067818066449
"ENSG00000075218",6.22273208404723,-4.43295670641252,1.20215281489791,-3.68751514073441,0.000226454623218682,0.00194201995063294
"ENSG00000070010",51.7062880842413,-1.2253387055371,0.333370130657786,-3.67561035873052,0.000237281439935684,0.00197501904417054
"ENSG00000100399",3.28622407686649,6.08097974125003,1.66512849609109,3.65195824557997,0.000260248206410067,0.00205643489346637
"ENSG00000188636",5.25417515422749,-4.88246731481305,1.33969236233198,-3.64446902295855,0.000267944403605807,0.00205643489346637
"ENSG00000100129",227.573592195686,0.605521110754504,0.166188088960197,3.64358910763773,0.000268862512573341,0.00205643489346637
"ENSG00000100284",19.7645031323684,1.88571580055491,0.524340765705572,3.59635550750555,0.000322706701639038,0.00240331569904862
"ENSG00000100028",87.7095083466047,-1.08704331809098,0.305028620404409,-3.56374204050023,0.000365605260376655,0.0026529817611947
"ENSG00000128245",70.1531052204394,-0.996916514066259,0.281307856059318,-3.54386304041237,0.000394310023066347,0.0027897434131944
"ENSG00000189306",45.670095963553,-1.20359602912449,0.347324230347138,-3.46533850495123,0.000529564470225371,0.00365528646521414
"ENSG00000183762",11.3097212511869,2.42086424457433,0.712802148609937,3.39626395528598,0.000683124487743017,0.00460295785788747
"ENSG00000241990",5.98269585951861,-4.98459300822177,1.4811742123977,-3.36529826572716,0.000764609565877075,0.00503219784053982
"ENSG00000099977",87.6390427080054,-1.07586207841735,0.32148111869786,-3.3465793660762,0.000818152549836108,0.00526220844553678
"ENSG00000241360",25.1974002435517,1.40459326031901,0.450604349366556,3.11713205230606,0.00182619751753298,0.0113566238106999
"ENSG00000100106",12.4124148773896,-2.79395713533613,0.898640237529726,-3.10909418324785,0.00187661886704776,0.0113566238106999
"ENSG00000244486",6.12245409820423,2.94843645658856,0.948780131905438,3.10760771377791,0.00188608239965688,0.0113566238106999
"ENSG00000221963",6.70607922173759,2.68671857239283,0.879534208562488,3.05470616860259,0.0022528111555485,0.0131618793337823
"ENSG00000183864",22.0735108706006,1.78816804759492,0.586933748449278,3.04662673141456,0.00231424898987582,0.0131618793337823
"ENSG00000182541",6.93214459722959,2.55028553802228,0.837483026822678,3.04517877538103,0.00232542037699334,0.0131618793337823
"ENSG00000269220",2.55242603750922,5.54625979677364,1.83791382881991,3.01769305492129,0.00254706747148983,0.0141337273417965
"ENSG00000093010",106.026246271873,0.734001347616019,0.246987278588599,2.97181843457869,0.00296041699237256,0.0161115001700276
"ENSG00000100422",24.5875317654417,1.23687963964748,0.421323695952645,2.93569920592954,0.00332796853167327,0.0177700961219535
"ENSG00000186575",5.44176020132546,-3.31381255466109,1.16087334794307,-2.85458578279257,0.00430929922053581,0.0225839199891043
"ENSG00000128242",10.6880669270666,-2.27671902837558,0.810055397324105,-2.81057201260108,0.0049453520712911,0.0254460842940979
"ENSG00000128272",191.438783015291,0.757204294129676,0.275746592085042,2.74601505826099,0.00603239947471078,0.0304851616311277
"ENSG00000128311",39.7849733215302,-1.04764327246054,0.391135078591411,-2.67846922918138,0.00739595273911587,0.0367202565819262
"ENSG00000219438",12.3629386416028,1.84861940567542,0.691877035011951,2.67189010781878,0.00754253446157744,0.0368023664245934
"ENSG00000128185",24.0360983239866,-1.32081050164477,0.499006996698891,-2.64687771991655,0.0081238722757804,0.0389670483736585
"ENSG00000133460",7.80614145317923,1.95852969425868,0.747182103784647,2.621221365365,0.00876153504456218,0.0413252402935183
"ENSG00000138867",21.2636626953504,1.22461833610305,0.470196656441217,2.60448116618232,0.00920134779005171,0.0426882200751579
"ENSG00000100380",133.526713620779,0.56689849854579,0.220321787839084,2.57304783201848,0.0100807274677474,0.0454417587829531
"ENSG00000128274",4.53671537492109,-3.50769480457205,1.36388616325524,-2.57183839756838,0.0101160099057458,0.0454417587829531
"ENSG00000100290",3.62399913318925,3.58684538010746,1.40330602373396,2.55599656770764,0.0105884163284189,0.0461655838923747
"ENSG00000184470",20.1966738903245,-1.66345932396021,0.650931900948595,-2.55550438000667,0.0106034026607928,0.0461655838923747
"ENSG00000198911",53.6658320063396,0.960840658756442,0.382645688050775,2.51104530577892,0.0120374246943309,0.0516150180075097
"ENSG00000100065",19.4314196344301,1.25223741398589,0.502607080986623,2.49148382774021,0.0127210758209156,0.0537323053331211
"ENSG00000100347",35.5821952148586,-0.944238528026979,0.381941421230374,-2.47220771443233,0.0134281469480947,0.0558847880339824
"ENSG00000185608",39.4582797334827,-1.09454412483654,0.445583710049406,-2.45642760305394,0.0140326073549202,0.0573317851371351
